ASVID,D273,D274,D275,D276,D277,D278,D279,D291,D292,D293,D294,D295,D296,D307,D308,D309,D311,D312,D313,D348,D349,D350,D351,D352,D353,D354,D362,D363,D364,D365,D366,D370,D371,D372,D373,D375,D377,D378,D379,D380,D381,D382,D383,D385,D386,D387,D388,D390,D391,D392,D393,D394,D395,D396,D404,D405,D406,D407,D408,D409,D410,D411,D412,D413,D414,D415,D416,D417,D439,D440,D441,D442,D443,D444,D445,D453,D454,D455,D456,D457,D458,D459,D467,D468,D469,D470,D471,D472,D473,D474,D475,D476,D477,D478,D479,D480,D502,D503,D504,D505,D506,D507,D508,D509,D510,D511,D512,D513,D514,D515,D516,D517,D518,D519,D520,D521,D522,D531,D532,D534,D535,D537,D538,D540,D541,D542,D543
d8cf4164061b066d9bd9ef1eeecdd9ee,0,0,0,0,189,0,586,0,0,0,0,517,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,0,0,0,118,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,189,2627,0,0,0,0,0,786,0,0,0,0,0,0,0,389,0,0,0,0,920,0,0,0,0,0,122,0,0,0,0,0,0,0,36,193,0,0,0,0,0,0,0,0,109,0,0
ecfd79a724f6204a86861923d54ef2cf,0,0,0,86,0,0,0,70,481,109,0,0,0,0,0,0,0,0,0,0,0,171,68,0,0,81,79,95,77,115,0,0,0,0,0,0,0,0,23,0,0,0,140,1097,0,0,0,0,0,207,0,0,0,0,0,0,201,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,144,287,317,142,53,0,0,0,287,0,0,41,0,0,0,0,0,0,98,0,378,0,2827,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0
5557bf69af0e22a498a98de3d747b2b1,0,0,0,0,500,729,137,0,0,63,97,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,249,106,0,0,65,0,0,0,0,0,1050,448,145,0,0,67,232,0,0,0,0,84,0,0,0,0,0,0,72,424,452,180,0,0,0,0,176,317,121,0,0,0,0,302,320,0,0,0,0,123,111,0,0,0,0,0,0,183,0,109,0,0,0,0,318,0,61,0,0,0,0,211,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,72,0,0,0,0,0,0
17f2af7557ba98528952b3a33264d764,0,0,0,0,0,639,210,0,0,0,0,590,267,0,0,0,0,0,0,0,0,0,0,0,0,1397,0,0,0,0,0,0,0,0,0,258,0,0,0,1553,1833,380,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0671ac28b16f77c139f0693656667abc,80,90,0,0,121,0,0,58,837,0,0,0,0,398,351,0,117,236,0,452,100,180,73,0,119,0,0,0,0,0,0,0,129,0,88,0,0,0,0,0,0,0,0,0,0,0,0,482,318,0,0,0,0,0,140,163,0,0,0,0,0,346,279,948,0,0,0,133,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,246,0,0,0,0,484,723,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54032a4dfdc08d69ed768ee5679c59cc,0,0,132,274,269,201,0,0,321,0,72,0,0,125,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,71,0,175,0,0,0,84,0,0,338,182,0,0,0,998,272,0,0,0,241,130,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,126,0,469,208,228,0,0,0,97,58,0,0,0,0,0,0,238,93,73,0,0,0,0,414,0,0,0,0,0,131,0,265,0,0,0,0,245,0,0,0,0,0,128,0,0,0,0,0,0,237,126,0,0,0,0,0,0,0
459ed271a025599c395e2485642a9ea6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1361,0,0,0,0,0,0,0,1339,0,0,0,0,0,0,0,675,0,0,0,0,0,0,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3640,0,0,0,0,494,0,0
2050c405da8b91a37e6d935f96430631,0,0,0,0,0,208,393,0,0,0,173,90,395,0,0,0,0,64,363,0,0,0,0,54,0,480,0,0,0,0,0,0,0,0,0,126,0,0,0,0,91,182,0,0,0,468,0,0,0,0,0,172,80,532,0,0,0,0,211,145,199,0,0,0,0,0,0,0,0,0,0,0,0,118,86,0,0,0,0,0,0,159,0,0,0,0,0,329,284,0,0,0,0,0,416,132,0,0,0,0,336,174,317,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,215,90,0,0,0,68,300,230
5c10cfaf9328300b14c3475d605dec99,0,0,0,0,0,0,0,0,0,0,181,157,0,0,0,0,0,0,0,0,0,0,0,112,63,0,0,0,0,0,0,0,0,0,201,0,0,0,0,790,0,0,0,0,0,333,182,0,0,0,0,75,303,0,0,0,0,0,936,195,0,0,0,0,0,122,77,0,0,0,0,176,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,657,0,0,0,0,0,0,275,0,0,0,0,0,123,0,0,0,0,0,80,586,781,0,0,0,0,0,58,50,0,0,0,273,559,0,0,0,0,280,0
5d2031f6f265082b44d35b93a2853196,143,119,125,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,239,156,60,0,0,0,0,276,698,0,0,0,0,0,0,373,270,390,0,0,0,0,956,407,44,0,178,215,0,236,38,0,0,120,88,152,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,83,109,163,0,0,0,0,469,223,123,0,0,0,0,0,0,0,191,19,0,0,0,109,0,0,0,0,0,0,0,0
