"lon","lat","depth","tem01","tem02","tem03","tem04","tem05","tem06","tem07","tem08","tem09","tem10","tem11","tem12","sal01","sal02","sal03","sal04","sal05","sal06","sal07","sal08","sal09","sal10","sal11","sal12","oxy01","oxy02","oxy03","oxy04","oxy05","oxy06","oxy07","oxy08","oxy09","oxy10","oxy11","oxy12"
-145,50,298,3.9059000492096,3.94540002346039,3.9130001783371,3.96960000991821,4.0228000164032,3.94340000152588,3.92610018253326,4.00549988746643,4.0310998916626,3.9010999917984,3.90300002098084,3.68970012664795,33.9009994506836,33.9062004089355,33.9019989013672,33.9171016693115,33.9086994171142,33.9023986816407,33.8833011627198,33.8851001739501,33.8764015197753,33.8473018646241,33.8473018646241,33.853902053833,59.6701595306397,60.543017578125,60.0304702758789,59.8324481964111,64.2917732238769,61.5398147583007,65.8268493652344,68.5738143920898,71.6395713806152,74.2987213134766,74.1453201293945,63.047917175293
-145,50,299,3.90495004653931,3.94470001459122,3.91250017881393,3.9683000087738,4.02139999866485,3.94219999313354,3.92555018663406,4.00374987125396,4.02954988479615,3.89804998636245,3.90050001144409,3.68935012817383,33.9024993896485,33.907600402832,33.9034988403321,33.9185518264771,33.909849357605,33.9036987304688,33.8846513748169,33.8865503311157,33.8777015686035,33.8486520767212,33.8486520767212,33.8554521560669,59.2574602127075,60.1895805358886,59.6323806762696,59.4603849411011,63.9793750762939,61.1449111938476,65.467879486084,68.1445274353027,71.2399517059326,73.8181304931641,73.6859336853027,62.6231712341309
-145,50,300,3.90400004386902,3.94400000572205,3.91200017929077,3.96700000762939,4.01999998092651,3.94099998474121,3.92500019073486,4.0019998550415,4.02799987792969,3.89499998092651,3.89800000190735,3.68900012969971,33.9039993286133,33.9090003967285,33.9049987792969,33.9200019836426,33.9109992980957,33.9049987792969,33.8860015869141,33.8880004882812,33.8790016174316,33.8500022888184,33.8500022888184,33.8570022583008,58.8447608947754,59.8361434936523,59.2342910766602,59.088321685791,63.6669769287109,60.7500076293945,65.1089096069336,67.7152404785156,70.84033203125,73.3375396728516,73.2265472412109,62.1984252929688
-145,50,301,3.90350004434586,3.94375001192093,3.9119501709938,3.9655000090599,4.0182499885559,3.93989999294281,3.92445018291473,4.00169986486435,4.02759988307953,3.89454998970031,3.89819999933243,3.68930011987686,33.9054992675782,33.9103002548218,33.9064487457276,33.9210517883301,33.9121492385864,33.9061487197876,33.8874513626099,33.8894004821777,33.8804513931274,33.8514520645142,33.8515020370484,33.8585020065308,58.5051916122437,59.5346391677856,58.9122270584107,58.7955818176269,63.3541090011596,60.4577472686767,64.7297380447388,67.4001760482788,70.4948064804077,72.9304252624512,72.8285594940185,61.8557929992676
-145,50,302,3.90300004482269,3.94350001811982,3.91190016269684,3.96400001049041,4.0164999961853,3.93880000114441,3.9239001750946,4.00139987468719,4.02719988822937,3.89409999847412,3.89839999675751,3.68960011005402,33.906999206543,33.911600112915,33.9078987121582,33.9221015930176,33.9132991790771,33.9072986602783,33.8889011383057,33.8908004760742,33.8819011688232,33.85290184021,33.8530017852784,33.8600017547608,58.1656223297119,59.2331348419189,58.5901630401612,58.5028419494629,63.0412410736084,60.165486907959,64.3505664825439,67.085111618042,70.1492809295654,72.5233108520508,72.4305717468261,61.5131607055664
-145,50,303,3.90250004529953,3.9432500243187,3.91185015439987,3.96250001192092,4.01475000381469,3.93770000934601,3.92335016727447,4.00109988451004,4.02679989337921,3.89365000724792,3.89859999418259,3.68990010023117,33.9084991455078,33.9128999710083,33.9093486785889,33.9231513977051,33.9144491195679,33.9084486007691,33.8903509140015,33.8922004699707,33.883350944519,33.8543516159058,33.8545015335083,33.8615015029907,57.8260530471802,58.9316305160522,58.2680990219117,58.2101020812988,62.7283731460571,59.8732265472412,63.9713949203491,66.7700471878051,69.8037553787231,72.1161964416504,72.0325839996338,61.1705284118653
-145,50,304,3.90200004577637,3.94300003051758,3.9118001461029,3.96100001335144,4.01300001144409,3.93660001754761,3.92280015945434,4.00079989433288,4.02639989852905,3.89320001602173,3.89879999160767,3.69020009040833,33.9099990844727,33.9141998291016,33.9107986450196,33.9242012023926,33.9155990600586,33.9095985412598,33.8918006896973,33.8936004638671,33.8848007202148,33.8558013916016,33.8560012817383,33.8630012512207,57.4864837646484,58.6301261901855,57.9460350036621,57.9173622131348,62.4155052185058,59.5809661865234,63.5922233581543,66.4549827575683,69.4582298278809,71.70908203125,71.6345962524414,60.8278961181641
-145,50,305,3.9015000462532,3.94275003671646,3.91175013780594,3.95950001478195,4.01125001907348,3.9355000257492,3.92225015163421,4.00049990415573,4.02599990367889,3.89275002479553,3.89899998903275,3.69050008058548,33.9114990234375,33.9154996871948,33.9122486114502,33.9252510070801,33.9167490005493,33.9107484817505,33.8932504653931,33.8950004577636,33.8862504959106,33.8572511672974,33.8575010299683,33.8645009994507,57.1469144821167,58.3286218643188,57.6239709854126,57.6246223449707,62.1026372909545,59.2887058258056,63.2130517959595,66.1399183273315,69.1127042770386,71.3019676208497,71.236608505249,60.4852638244629
-145,50,306,3.90100004673004,3.94250004291535,3.91170012950897,3.95800001621246,4.00950002670288,3.9344000339508,3.92170014381409,4.00019991397857,4.02559990882874,3.89230003356933,3.89919998645783,3.69080007076264,33.9129989624024,33.9167995452881,33.9136985778809,33.9263008117676,33.9178989410401,33.9118984222412,33.8947002410889,33.8964004516601,33.8877002716064,33.8587009429932,33.8590007781983,33.8660007476807,56.807345199585,58.0271175384521,57.3019069671631,57.3318824768066,61.7897693634033,58.9964454650879,62.8338802337646,65.8248538970947,68.7671787261963,70.8948532104493,70.8386207580566,60.1426315307617
-145,50,307,3.90050004720688,3.94225004911423,3.911650121212,3.95650001764297,4.00775003433227,3.9333000421524,3.92115013599396,3.99989992380142,4.02519991397858,3.89185004234314,3.89939998388291,3.69110006093979,33.9144989013672,33.9180994033814,33.9151485443116,33.9273506164551,33.9190488815308,33.9130483627319,33.8961500167847,33.8978004455566,33.8891500473022,33.860150718689,33.8605005264283,33.8675004959107,56.4677759170532,57.7256132125854,56.9798429489136,57.0391426086426,61.476901435852,58.7041851043701,62.4547086715698,65.5097894668579,68.421653175354,70.4877388000489,70.4406330108642,59.7999992370606
-145,50,308,3.90000004768372,3.94200005531311,3.91160011291504,3.95500001907348,4.00600004196167,3.932200050354,3.92060012817383,3.99959993362426,4.02479991912842,3.89140005111694,3.89959998130799,3.69140005111695,33.9159988403321,33.9193992614746,33.9165985107422,33.9284004211426,33.9201988220215,33.9141983032227,33.8975997924805,33.8992004394531,33.890599822998,33.8616004943848,33.8620002746582,33.8690002441406,56.1282066345215,57.4241088867187,56.6577789306641,56.7464027404785,61.1640335083007,58.4119247436523,62.075537109375,65.1947250366211,68.0761276245117,70.0806243896485,70.0426452636719,59.4573669433594
-145,50,309,3.89950004816055,3.941750061512,3.91155010461807,3.95350002050399,4.00425004959106,3.9311000585556,3.9200501203537,3.99929994344711,4.02439992427826,3.89095005989075,3.89979997873307,3.6917000412941,33.9174987792969,33.9206991195679,33.9180484771729,33.9294502258301,33.9213487625122,33.9153482437134,33.8990495681763,33.9006004333496,33.8920495986938,33.8630502700806,33.8635000228882,33.8704999923706,55.7886373519897,57.122604560852,56.3357149124146,56.4536628723145,60.8511655807495,58.1196643829346,61.6963655471802,64.8796606063843,67.7306020736694,69.6735099792481,69.6446575164795,59.1147346496582
