source_file,date,depth_dbar,temperature_C,month
5903274_Sprof.nc,2011-05-16 14:02:38.000567040,50,6.246770025711157,2011-05
5903274_Sprof.nc,2011-05-16 14:02:38.000567040,300,3.984759967555874,2011-05
5903274_Sprof.nc,2011-05-16 14:02:38.000567040,500,3.792570066623739,2011-05
5903274_Sprof.nc,2011-05-21 18:16:45.001827840,50,6.214320102386409,2011-05
5903274_Sprof.nc,2011-05-21 18:16:45.001827840,300,3.977280009956303,2011-05
5903274_Sprof.nc,2011-05-21 18:16:45.001827840,500,3.7853790141183636,2011-05
5903274_Sprof.nc,2011-05-26 22:28:58.001062144,50,6.566384803047185,2011-05
5903274_Sprof.nc,2011-05-26 22:28:58.001062144,300,3.981459962644294,2011-05
5903274_Sprof.nc,2011-05-26 22:28:58.001062144,500,3.776345041780587,2011-05
5903274_Sprof.nc,2011-06-01 02:16:26.000417280,50,6.412254716368426,2011-06
5903274_Sprof.nc,2011-06-01 02:16:26.000417280,300,3.98799991607666,2011-06
5903274_Sprof.nc,2011-06-01 02:16:26.000417280,500,3.7799999713897705,2011-06
5903274_Sprof.nc,2011-06-06 05:57:59.000619008,50,6.620000148773215,2011-06
5903274_Sprof.nc,2011-06-06 05:57:59.000619008,300,3.9833200432585727,2011-06
5903274_Sprof.nc,2011-06-06 05:57:59.000619008,500,3.766160024490091,2011-06
5903274_Sprof.nc,2011-06-11 09:33:11.000744448,50,6.781590210590366,2011-06
5903274_Sprof.nc,2011-06-11 09:33:11.000744448,300,4.013000011444092,2011-06
5903274_Sprof.nc,2011-06-11 09:33:11.000744448,500,3.8233299562161847,2011-06
5903274_Sprof.nc,2011-06-16 13:10:34.997753344,50,6.465344873695358,2011-06
5903274_Sprof.nc,2011-06-16 13:10:34.997753344,300,4.12246518007305,2011-06
5903274_Sprof.nc,2011-06-16 13:10:34.997753344,500,3.8231549417687347,2011-06
5903274_Sprof.nc,2011-06-21 17:19:38.997799680,50,6.423933370923318,2011-06
5903274_Sprof.nc,2011-06-21 17:19:38.997799680,300,4.2020901309588226,2011-06
5903274_Sprof.nc,2011-06-21 17:19:38.997799680,500,3.8631799171635066,2011-06
5903274_Sprof.nc,2011-06-26 22:18:20.002674432,50,6.871599742316903,2011-06
5903274_Sprof.nc,2011-06-26 22:18:20.002674432,300,4.169519915085402,2011-06
5903274_Sprof.nc,2011-06-26 22:18:20.002674432,500,3.8498399931522727,2011-06
5903274_Sprof.nc,2011-07-02 02:07:49.999840512,50,6.763869891052309,2011-07
5903274_Sprof.nc,2011-07-02 02:07:49.999840512,300,4.132904902668088,2011-07
5903274_Sprof.nc,2011-07-02 02:07:49.999840512,500,3.8309499350070837,2011-07
5903274_Sprof.nc,2011-07-07 06:39:49.001083136,50,6.885444939784975,2011-07
5903274_Sprof.nc,2011-07-07 06:39:49.001083136,300,4.163000106811523,2011-07
5903274_Sprof.nc,2011-07-07 06:39:49.001083136,500,3.8651150066943956,2011-07
5903274_Sprof.nc,2011-07-12 11:03:10.001675520,50,7.093759701957424,2011-07
5903274_Sprof.nc,2011-07-12 11:03:10.001675520,300,4.147869768028613,2011-07
5903274_Sprof.nc,2011-07-12 11:03:10.001675520,500,3.8042599227337632,2011-07
5903274_Sprof.nc,2011-07-17 14:53:51.997490944,50,6.770659869995143,2011-07
5903274_Sprof.nc,2011-07-17 14:53:51.997490944,300,4.113079952163389,2011-07
5903274_Sprof.nc,2011-07-17 14:53:51.997490944,500,3.819360007895739,2011-07
5903274_Sprof.nc,2011-07-22 19:04:31.001819648,50,6.8874998922347,2011-07
5903274_Sprof.nc,2011-07-22 19:04:31.001819648,300,4.163150105094246,2011-07
5903274_Sprof.nc,2011-07-22 19:04:31.001819648,500,3.8120500356671982,2011-07
5903274_Sprof.nc,2011-07-27 22:57:16.001591040,50,7.102049801540488,2011-07
5903274_Sprof.nc,2011-07-27 22:57:16.001591040,300,4.146349889182602,2011-07
5903274_Sprof.nc,2011-07-27 22:57:16.001591040,500,3.799525037622516,2011-07
5903274_Sprof.nc,2011-08-02 03:12:24.000145920,50,6.749880248184127,2011-08
5903274_Sprof.nc,2011-08-02 03:12:24.000145920,300,4.132570026093163,2011-08
5903274_Sprof.nc,2011-08-02 03:12:24.000145920,500,3.80976001523959,2011-08
5903274_Sprof.nc,2011-08-07 07:00:57.999225600,50,6.664125204086304,2011-08
5903274_Sprof.nc,2011-08-07 07:00:57.999225600,300,4.083225098991534,2011-08
5903274_Sprof.nc,2011-08-07 07:00:57.999225600,500,3.8033099853419117,2011-08
5903274_Sprof.nc,2011-08-12 11:13:00.000975360,50,6.438144943695079,2011-08
5903274_Sprof.nc,2011-08-12 11:13:00.000975360,300,4.123930144138285,2011-08
5903274_Sprof.nc,2011-08-12 11:13:00.000975360,500,3.781464898500417,2011-08
5903274_Sprof.nc,2011-08-17 15:04:47.001615104,50,6.8155399427032535,2011-08
5903274_Sprof.nc,2011-08-17 15:04:47.001615104,300,4.129000186920166,2011-08
5903274_Sprof.nc,2011-08-17 15:04:47.001615104,500,3.797339943561383,2011-08
5903274_Sprof.nc,2011-08-22 19:12:46.998480896,50,7.291357002063547,2011-08
5903274_Sprof.nc,2011-08-22 19:12:46.998480896,300,4.120999813079834,2011-08
5903274_Sprof.nc,2011-08-22 19:12:46.998480896,500,3.8015500661858823,2011-08
5903274_Sprof.nc,2011-08-27 23:18:36.998861568,50,7.466044725971187,2011-08
